"UniqueID","startprice","startprice.log10.predict."
10002,0.99,-0.0593838092605178
10006,175,2.34145368520488
10007,100,2.11369001935491
10009,0.99,0.319319661309859
10010,150,2.17440410544814
10013,20,1.40838185053272
10034,49,1.70364992132333
10049,100,2.21586428982838
10050,279.99,2.40536709192516
10056,175,2.24782212394202
10061,160,2.19568737985627
10062,0.99,-0.024636329972765
10064,0.99,-0.0593838092605178
10070,115,2.08873846476832
10073,99.99,2.03225210287056
10074,75,1.72572123067587
10075,135,2.10866562900546
10078,50,1.75391592559964
10081,0.99,-0.0780543351495979
10090,305,2.46965175028337
10091,0.01,1.62951093791342
10092,450,2.74811970065123
10095,62,1.75391592559964
10097,99,2.01579092090149
10098,45,1.68781263941472
10103,160,2.19485020648582
10108,290,2.49447575828991
10112,255,2.09918011131162
10113,114.99,1.47710007475889
10114,250,2.35008971390588
10118,325,1.81237440225167
10119,199.99,2.31560189211995
10120,250,2.35097967940974
10123,159.99,2.16842459922098
10124,9.99,0.845893106332746
10125,125,2.37240064162884
10127,100,1.72572123067587
10130,100,2.10987582060298
10134,49.49,1.63560474574779
10135,225,2.11755499844854
10137,255,2.37240064162884
10138,25,1.53447634694309
10140,0.99,-0.0771133351397513
10141,185,2.23206869615283
10142,250,1.90946459657727
10143,99,1.97245812104028
10145,58,1.5477038090632
10150,89.95,1.83195327363107
10151,60,1.8109944716376
10152,0.99,-0.0503469792704056
10154,40,1.71686944746234
10156,29.99,1.47869568027004
10157,49.99,1.47869568027004
10162,50,1.75391592559964
10165,80,1.76683943462835
10166,0.01,2.00851209212221
10169,50,1.76629929342014
10173,50,1.64862670019827
10174,0.99,0.0597767783710417
10175,65,1.75391592559964
10176,89.99,1.97854429648984
10177,149,2.16276340339377
10179,99,1.92628474234579
10180,225,2.47493283608248
10181,200,2.05012690325766
10182,100,1.76629929342014
10185,99,1.90657317155514
10186,99.99,2.03045502506214
10187,174.95,2.10319913198739
10189,0.99,-0.00748553107727296
10190,50,1.75391592559964
10192,62,1.75391592559964
10193,250,2.14813792658992
10194,100,2.11508912262635
10195,200,1.16191527170262
10196,99.99,1.98719640401563
10198,0.99,0.0792717078708804
10199,50,2.14304026758797
10201,49.99,1.93391091682988
10202,100,1.93738546258684
10203,79.99,1.76380628856798
10208,184.99,1.40575271029884
10209,50,1.75391592559964
10210,165,2.25008623166027
10211,25,1.63375891389651
10213,99,1.95469716853903
10214,99,1.97701979964166
10220,0.99,-0.0553234519510607
10223,0.99,-0.0553234519510607
10224,50,1.75391592559964
10225,70,1.37207535328152
10226,1,0.363431098228956
10227,299.99,2.40432784933032
10228,150,1.84950567715803
10230,42,1.74051603684971
10231,399.99,2.56840262910455
10233,0.99,-0.07328805509087
10237,99,1.64195155272494
10238,0.99,-0.0780543351495979
10240,55,1.75391592559964
10241,99.99,1.99481251942428
10242,175,2.36189234803716
10243,140,1.90946459657727
10245,300,2.51340233408513
10246,400,1.81237440225167
10247,1,1.05990651993307
10250,45,1.86976143081834
10251,89,1.85255851599431
10253,200,2.46551229505602
10254,229.97,1.40029756486221
10255,0.99,-0.07328805509087
10256,40,1.75391592559964
10258,0.99,-0.0780543351495979
10261,250,1.57496642854988
10262,59.95,1.67671597044811
10263,50,2.10866562900546
10264,225,2.15458781754498
10265,80,1.86976143081834
10268,200,2.36189234803716
10269,100,2.04971388962196
10270,29.99,1.47869568027004
10271,75,1.64253217497268
10273,150,2.11369001935491
10275,78,1.77332571684106
10276,19.95,1.18957509817048
10278,100,1.93361385144483
10280,329.99,2.64125441423666
10281,0.01,-1.25424826984151
10283,20,1.74425411999347
10284,100,1.81237440225167
10285,0.01,1.63942101804193
10286,41,1.53160253408691
10288,74.99,1.82791066195296
10289,250,2.45477471399837
10290,50,1.75021662741936
10291,0.99,-0.0569986527293576
10292,0.99,-0.0863189584026871
10293,5,0.848417533903325
10294,19.99,1.11579383692461
10295,50,1.76629929342014
10296,89.99,1.97854429648984
10297,490,2.70604400780003
10298,99,1.95368944811837
