"UniqueID","sold.fctr","sold.fctr.predict.RFE.X.rpart.prob","sold.fctr.predict.RFE.X.rpart","sold.fctr.predict.RFE.X.rpart.err","sold.fctr.predict.RFE.X.rpart.err.abs","sold.fctr.predict.RFE.X.rpart.accurate","sold.fctr.predict.RFE.X.earth.prob","sold.fctr.predict.RFE.X.earth","sold.fctr.predict.RFE.X.earth.err","sold.fctr.predict.RFE.X.earth.err.abs","sold.fctr.predict.RFE.X.earth.accurate","sold.fctr.predict.RFE.X.glmnet.prob","sold.fctr.predict.RFE.X.glmnet","sold.fctr.predict.RFE.X.glmnet.err","sold.fctr.predict.RFE.X.glmnet.err.abs","sold.fctr.predict.RFE.X.glmnet.accurate","sold.fctr.predict.RFE.X.glm.prob","sold.fctr.predict.RFE.X.glm","sold.fctr.predict.RFE.X.glm.err","sold.fctr.predict.RFE.X.glm.err.abs","sold.fctr.predict.RFE.X.glm.accurate","sold.fctr.predict.RFE.X.bayesglm.prob","sold.fctr.predict.RFE.X.bayesglm","sold.fctr.predict.RFE.X.bayesglm.err","sold.fctr.predict.RFE.X.bayesglm.err.abs","sold.fctr.predict.RFE.X.bayesglm.accurate","sold.fctr.predict.RFE.X.nnet.prob","sold.fctr.predict.RFE.X.nnet","sold.fctr.predict.RFE.X.nnet.err","sold.fctr.predict.RFE.X.nnet.err.abs","sold.fctr.predict.RFE.X.nnet.accurate","sold.fctr.predict.RFE.X.avNNet.prob","sold.fctr.predict.RFE.X.avNNet","sold.fctr.predict.RFE.X.avNNet.err","sold.fctr.predict.RFE.X.avNNet.err.abs","sold.fctr.predict.RFE.X.avNNet.accurate","sold.fctr.predict.RFE.X.gbm.prob","sold.fctr.predict.RFE.X.gbm","sold.fctr.predict.RFE.X.gbm.err","sold.fctr.predict.RFE.X.gbm.err.abs","sold.fctr.predict.RFE.X.gbm.accurate","sold.fctr.predict.Ensemble.glmnet.prob","sold.fctr.predict.Ensemble.glmnet","sold.fctr.predict.Ensemble.glmnet.err","sold.fctr.predict.Ensemble.glmnet.err.abs","sold.fctr.predict.Ensemble.glmnet.accurate"
11239,"N",0.921348314606741,"Y",TRUE,0.921348314606741,FALSE,0.550576876515533,"N",FALSE,0.550576876515533,TRUE,0.470114336926932,"N",FALSE,0.470114336926932,TRUE,0.589394276203633,"Y",TRUE,0.589394276203633,FALSE,0.53044782416616,"Y",TRUE,0.53044782416616,FALSE,0.288785024650178,"N",FALSE,0.288785024650178,TRUE,0.212756943688584,"N",FALSE,0.212756943688584,TRUE,0.567177725627716,"Y",TRUE,0.567177725627716,FALSE,0.204725628812892,"Y",TRUE,0.204725628812892,FALSE
11258,"N",0.392857142857143,"Y",TRUE,0.392857142857143,FALSE,0.186261789124392,"N",FALSE,0.186261789124392,TRUE,0.428921696415566,"N",FALSE,0.428921696415566,TRUE,0.223371255469553,"N",FALSE,0.223371255469553,TRUE,0.255745025984206,"N",FALSE,0.255745025984206,TRUE,0.178819183023287,"N",FALSE,0.178819183023287,TRUE,0.155395350843336,"N",FALSE,0.155395350843336,TRUE,0.460971993575401,"N",FALSE,0.460971993575401,TRUE,0.116724033283916,"N",FALSE,0.116724033283916,TRUE
11602,"N",0.921348314606741,"Y",TRUE,0.921348314606741,FALSE,0.149121240829857,"N",FALSE,0.149121240829857,TRUE,0.270473799184389,"N",FALSE,0.270473799184389,TRUE,0.104788096479557,"N",FALSE,0.104788096479557,TRUE,0.156839828298585,"N",FALSE,0.156839828298585,TRUE,0.105465371360096,"N",FALSE,0.105465371360096,TRUE,0.112993888279111,"N",FALSE,0.112993888279111,TRUE,0.199722273530242,"N",FALSE,0.199722273530242,TRUE,0.00500869296219113,"N",FALSE,0.00500869296219113,TRUE
11700,"N",0.921348314606741,"Y",TRUE,0.921348314606741,FALSE,0.774552609224968,"Y",TRUE,0.774552609224968,FALSE,0.851676115859285,"Y",TRUE,0.851676115859285,FALSE,0.508532768699395,"Y",TRUE,0.508532768699395,FALSE,0.729664181017934,"Y",TRUE,0.729664181017934,FALSE,0.9276154058154,"Y",TRUE,0.9276154058154,FALSE,0.845422850489509,"Y",TRUE,0.845422850489509,FALSE,0.920454107708391,"Y",TRUE,0.920454107708391,FALSE,0.869936602912831,"Y",TRUE,0.869936602912831,FALSE
10199,"N",0.921348314606741,"Y",TRUE,0.921348314606741,FALSE,0.97873131374211,"Y",TRUE,0.97873131374211,FALSE,0.960422809591949,"Y",TRUE,0.960422809591949,FALSE,0.998462914639846,"Y",TRUE,0.998462914639846,FALSE,0.990430969757095,"Y",TRUE,0.990430969757095,FALSE,0.992159467984919,"Y",TRUE,0.992159467984919,FALSE,0.960893568278772,"Y",TRUE,0.960893568278772,FALSE,0.97749726671061,"Y",TRUE,0.97749726671061,FALSE,0.982019526281153,"Y",TRUE,0.982019526281153,FALSE
10741,"N",0.392857142857143,"Y",TRUE,0.392857142857143,FALSE,0.239141892081704,"N",FALSE,0.239141892081704,TRUE,0.282081260081075,"N",FALSE,0.282081260081075,TRUE,0.0958557085384554,"N",FALSE,0.0958557085384554,TRUE,0.207021091708084,"N",FALSE,0.207021091708084,TRUE,0.166070440143714,"N",FALSE,0.166070440143714,TRUE,0.119263459166337,"N",FALSE,0.119263459166337,TRUE,0.145372061328137,"N",FALSE,0.145372061328137,TRUE,0.00924069205890755,"N",FALSE,0.00924069205890755,TRUE
11127,"N",0.392857142857143,"Y",TRUE,0.392857142857143,FALSE,0.176968461288676,"N",FALSE,0.176968461288676,TRUE,0.629159506847058,"Y",TRUE,0.629159506847058,FALSE,0.0322607386557101,"N",FALSE,0.0322607386557101,TRUE,0.3250076709943,"N",FALSE,0.3250076709943,TRUE,0.364201793647974,"N",FALSE,0.364201793647974,TRUE,0.769956580629388,"Y",TRUE,0.769956580629388,FALSE,0.317359516203083,"N",FALSE,0.317359516203083,TRUE,0.0335855950322692,"N",FALSE,0.0335855950322692,TRUE
11138,"N",0.392857142857143,"Y",TRUE,0.392857142857143,FALSE,0.148638191699944,"N",FALSE,0.148638191699944,TRUE,0.185497531346419,"N",FALSE,0.185497531346419,TRUE,0.00167622254412077,"N",FALSE,0.00167622254412077,TRUE,0.032794035039049,"N",FALSE,0.032794035039049,TRUE,0.107984571506004,"N",FALSE,0.107984571506004,TRUE,0.0998778625065927,"N",FALSE,0.0998778625065927,TRUE,0.454247642291292,"N",FALSE,0.454247642291292,TRUE,0.14986958151427,"N",FALSE,0.14986958151427,TRUE
11195,"N",0.392857142857143,"Y",TRUE,0.392857142857143,FALSE,0.480292973618049,"N",FALSE,0.480292973618049,TRUE,0.474964622905074,"N",FALSE,0.474964622905074,TRUE,0.0104947886447406,"N",FALSE,0.0104947886447406,TRUE,0.0450468026845578,"N",FALSE,0.0450468026845578,TRUE,0.113959876178421,"N",FALSE,0.113959876178421,TRUE,0.0973524615343356,"N",FALSE,0.0973524615343356,TRUE,0.725196165200678,"Y",TRUE,0.725196165200678,FALSE,0.417486021764785,"Y",TRUE,0.417486021764785,FALSE
11311,"N",0.392857142857143,"Y",TRUE,0.392857142857143,FALSE,0.109640500002026,"N",FALSE,0.109640500002026,TRUE,0.219518084383841,"N",FALSE,0.219518084383841,TRUE,0.0173458411525999,"N",FALSE,0.0173458411525999,TRUE,0.074707230691526,"N",FALSE,0.074707230691526,TRUE,0.135978324916533,"N",FALSE,0.135978324916533,TRUE,0.109663707913112,"N",FALSE,0.109663707913112,TRUE,0.0602912744785695,"N",FALSE,0.0602912744785695,TRUE,0.00658469630560083,"N",FALSE,0.00658469630560083,TRUE
