"UniqueID","startprice","startprice.log10.predict."
10001,159.99,2.20157399556462
10003,199.99,2.36528062968872
10004,235,2.34145998508795
10005,199.99,2.39235089565137
10008,329.99,2.51776310177161
10011,199.99,2.29882654832132
10012,99.99,1.97249511001457
10014,75,1.86041460459091
10015,199.99,2.28537532815994
10016,344.95,2.50665323282685
10017,184.5,2.30736516663445
10018,209.98,2.30650960429788
10019,375,2.65016750064522
10020,95,1.952222580797
10021,125,2.1101341677098
10022,187.5,2.28966074625381
10023,129.99,2.14980049269278
10024,329.99,2.67942556222138
10025,149,2.58111296537398
10026,238.8,2.23984736661072
10027,84.99,2.08896310874187
10028,249.99,2.28932959081102
10029,309.99,2.36354738700722
10030,319.95,2.44719376641445
10031,185,2.26296256124501
10032,90,1.9497008082774
10033,299.98,2.37539554007479
10035,444.99,2.61214348989232
10036,480,2.60364883145506
10037,225,2.29280114677647
10038,79,1.93914725437127
10039,189.85,2.11259548795335
10040,159.99,2.23694262550587
10041,199.99,2.30367834043328
10042,115,2.12813162317741
10043,289.95,2.40211461503732
10044,499.95,2.61301945412454
10045,199.99,2.32213501213959
10046,550,2.69643114199628
10047,209.99,2.37336833857858
10048,185,2.26305070915266
10051,614.99,2.76357359830754
10052,259,2.3177820479714
10053,240,2.37959586610829
10054,69.99,1.85598910342578
10055,398.99,2.39897271536693
10057,84.99,2.13331216681516
10058,269.99,2.26567005538748
10059,295,2.30877273536453
10060,210,2.29242617295714
10063,304.89,2.37652122161678
10065,195,2.25179051495503
10066,319,2.70336780800426
10067,389.99,2.54662729293099
10068,79.99,1.91597738772537
10069,254.99,2.38002253082653
10071,159.95,2.32647464624924
10072,279.99,2.41618708071659
10076,130,2.12897905545743
10077,119.95,2.32081611472074
10079,269.94,2.35164132228812
10080,380,2.60573834749176
10082,169.95,2.23067366078922
10083,319.85,2.50270903647069
10084,329.99,2.46508387744677
10085,249.95,2.08427050143219
10086,130,2.13073091665217
10087,550,2.70121732264043
10088,169.98,2.3291436750958
10089,149.99,2.19136158570889
10093,194.29,2.27820213525773
10094,193.15,2.35546613290849
10096,489.99,2.60013460200805
10099,134.95,2.12026387023778
10100,199.99,2.30429839320408
10101,264.99,2.390478821054
10102,349,2.49204577546953
10104,295,2.42974114192065
10105,199,2.37104094960165
10106,279.95,2.30720489606197
10107,149.95,1.99438158396574
10109,339.99,2.52192845171383
10110,99,2.03713002587343
10111,320,2.37618597211272
10115,250,2.21052729629484
10116,549.99,2.77934770482156
10117,215,2.36839714538188
10121,249.99,2.29624019496088
10122,299.99,2.28777542710842
10126,344,2.41863197554273
10128,250,2.20923041496765
10129,175,2.33162804165849
10131,150,2.19098061078893
10132,119.99,2.24093198577054
10133,225,2.26567107870029
10136,389.99,2.41456949061444
10139,274.99,2.35191609541435
10144,215,2.40017772607443
10146,187.5,2.31034176814616
10147,189.99,2.23431268992349
10148,229,2.25553126051286
10149,159.93,2.27411198346912
10153,639.99,2.74774014053254
10155,284.99,2.28360492415979
