"UniqueID","sold.fctr","sold.fctr.predict.All.X.glmnet.prob","sold.fctr.predict.All.X.glmnet","sold.fctr.predict.All.X.glmnet.err","sold.fctr.predict.All.X.glmnet.err.abs","sold.fctr.predict.All.X.glmnet.accurate"
10094,"N",0.208446083657331,"N",TRUE,0.208446083657331,TRUE
10260,"N",0.106247854090682,"N",TRUE,0.106247854090682,TRUE
10390,"N",0.539220348291592,"Y",FALSE,0.539220348291592,FALSE
10806,"N",0.173975272359269,"N",TRUE,0.173975272359269,TRUE
11000,"N",0.223516338375445,"N",TRUE,0.223516338375445,TRUE
11204,"N",0.539220348291592,"Y",FALSE,0.539220348291592,FALSE
11266,"N",0.170902181399285,"N",TRUE,0.170902181399285,TRUE
11307,"N",0.605233392217051,"Y",FALSE,0.605233392217051,FALSE
11315,"N",0.129400304970445,"N",TRUE,0.129400304970445,TRUE
11393,"N",0.163622937982657,"N",TRUE,0.163622937982657,TRUE
11403,"N",0.0518145709756585,"N",TRUE,0.0518145709756585,TRUE
11404,"N",0.0402291412416241,"N",TRUE,0.0402291412416241,TRUE
11418,"N",0.0867482706969959,"N",TRUE,0.0867482706969959,TRUE
11419,"N",0.0655714005423819,"N",TRUE,0.0655714005423819,TRUE
11437,"N",0.564387736599935,"Y",FALSE,0.564387736599935,FALSE
11450,"N",0.261877167257598,"N",TRUE,0.261877167257598,TRUE
11455,"N",0.423831481023306,"N",TRUE,0.423831481023306,TRUE
11459,"N",0.398317352941658,"N",TRUE,0.398317352941658,TRUE
11465,"N",0.395160243388763,"N",TRUE,0.395160243388763,TRUE
11526,"N",0.150191008647662,"N",TRUE,0.150191008647662,TRUE
11591,"N",0.43338892337133,"N",TRUE,0.43338892337133,TRUE
11597,"N",0.225736216837287,"N",TRUE,0.225736216837287,TRUE
11602,"N",0.644621910866364,"Y",FALSE,0.644621910866364,FALSE
11719,"N",0.205098464843326,"N",TRUE,0.205098464843326,TRUE
11763,"N",0.307464548508076,"N",TRUE,0.307464548508076,TRUE
11796,"N",0.694176209169711,"Y",FALSE,0.694176209169711,FALSE
11838,"N",0.438680312653423,"N",TRUE,0.438680312653423,TRUE
10199,"N",0.81216986848659,"Y",FALSE,0.81216986848659,FALSE
10244,"N",0.242917775892593,"N",TRUE,0.242917775892593,TRUE
10597,"N",0.45264942357026,"N",TRUE,0.45264942357026,TRUE
10609,"N",0.444327387593365,"N",TRUE,0.444327387593365,TRUE
10676,"N",0.134040635069927,"N",TRUE,0.134040635069927,TRUE
10690,"N",0.213330234103174,"N",TRUE,0.213330234103174,TRUE
10804,"N",0.461160280155015,"N",TRUE,0.461160280155015,TRUE
10829,"N",0.323116810328889,"N",TRUE,0.323116810328889,TRUE
10946,"N",0.113978118901897,"N",TRUE,0.113978118901897,TRUE
11001,"N",0.235628264556721,"N",TRUE,0.235628264556721,TRUE
11138,"N",0.450083102260666,"N",TRUE,0.450083102260666,TRUE
11172,"N",0.248121464195753,"N",TRUE,0.248121464195753,TRUE
11294,"N",0.232754669334864,"N",TRUE,0.232754669334864,TRUE
11372,"N",0.147600070840468,"N",TRUE,0.147600070840468,TRUE
11378,"N",0.102100981593047,"N",TRUE,0.102100981593047,TRUE
11389,"N",0.257791878761198,"N",TRUE,0.257791878761198,TRUE
11417,"N",0.305182071099272,"N",TRUE,0.305182071099272,TRUE
11457,"N",0.339464514241812,"N",TRUE,0.339464514241812,TRUE
11458,"N",0.115281184557964,"N",TRUE,0.115281184557964,TRUE
11490,"N",0.178102230234095,"N",TRUE,0.178102230234095,TRUE
11585,"N",0.303994370935441,"N",TRUE,0.303994370935441,TRUE
11594,"N",0.049307513272413,"N",TRUE,0.049307513272413,TRUE
11629,"N",0.353428777209432,"N",TRUE,0.353428777209432,TRUE
11748,"N",0.708369237115108,"Y",FALSE,0.708369237115108,FALSE
11761,"N",0.303994370935441,"N",TRUE,0.303994370935441,TRUE
11767,"N",0.406196781988689,"N",TRUE,0.406196781988689,TRUE
11819,"N",0.118757214042663,"N",TRUE,0.118757214042663,TRUE
11826,"N",0.0834199869898529,"N",TRUE,0.0834199869898529,TRUE
10012,"N",0.340789661118399,"N",TRUE,0.340789661118399,TRUE
10043,"N",0.237813902277172,"N",TRUE,0.237813902277172,TRUE
10054,"N",0.462286796879883,"N",TRUE,0.462286796879883,TRUE
10082,"N",0.329235816985956,"N",TRUE,0.329235816985956,TRUE
10106,"N",0.204706212859542,"N",TRUE,0.204706212859542,TRUE
10168,"N",0.204706212859542,"N",TRUE,0.204706212859542,TRUE
10217,"N",0.455311485526272,"N",TRUE,0.455311485526272,TRUE
10382,"N",0.420658763935682,"N",TRUE,0.420658763935682,TRUE
10494,"N",0.387148132613257,"N",TRUE,0.387148132613257,TRUE
10564,"N",0.786846459344963,"Y",FALSE,0.786846459344963,FALSE
10568,"N",0.444279848503556,"N",TRUE,0.444279848503556,TRUE
10658,"N",0.801611148354505,"Y",FALSE,0.801611148354505,FALSE
10743,"N",0.778376323991009,"Y",FALSE,0.778376323991009,FALSE
10857,"N",0.309530615242032,"N",TRUE,0.309530615242032,TRUE
10955,"N",0.815595307841302,"Y",FALSE,0.815595307841302,FALSE
10959,"N",0.419288218997058,"N",TRUE,0.419288218997058,TRUE
10960,"N",0.306330096600189,"N",TRUE,0.306330096600189,TRUE
11038,"N",0.440130604375967,"N",TRUE,0.440130604375967,TRUE
11050,"N",0.441457481020942,"N",TRUE,0.441457481020942,TRUE
11052,"N",0.696228418877816,"Y",FALSE,0.696228418877816,FALSE
11114,"N",0.412450442105457,"N",TRUE,0.412450442105457,TRUE
11542,"N",0.378971883378886,"N",TRUE,0.378971883378886,TRUE
11545,"N",0.420818499269949,"N",TRUE,0.420818499269949,TRUE
11575,"N",0.375192761794752,"N",TRUE,0.375192761794752,TRUE
11579,"N",0.462272858466002,"N",TRUE,0.462272858466002,TRUE
11622,"N",0.826922885303786,"Y",FALSE,0.826922885303786,FALSE
11806,"N",0.420818499269949,"N",TRUE,0.420818499269949,TRUE
11837,"N",0.399506350055268,"N",TRUE,0.399506350055268,TRUE
10317,"N",0.372956103649193,"N",TRUE,0.372956103649193,TRUE
10466,"N",0.413923381089443,"N",TRUE,0.413923381089443,TRUE
10471,"N",0.321999538011423,"N",TRUE,0.321999538011423,TRUE
10512,"N",0.449754802474995,"N",TRUE,0.449754802474995,TRUE
10526,"N",0.793358592967122,"Y",FALSE,0.793358592967122,FALSE
10586,"N",0.329519513484333,"N",TRUE,0.329519513484333,TRUE
10687,"N",0.787898126083023,"Y",FALSE,0.787898126083023,FALSE
