UniqueID,startprice.log10.predict.Final.Ensemble.glmnet
10001,2.20157399556462
10004,2.34145998508795
10005,2.39235089565137
10008,2.51776310177161
10012,1.97249511001457
10016,2.50665323282685
10018,2.30650960429788
10020,1.952222580797
10022,2.28966074625381
10023,2.14980049269278
10024,2.67942556222138
10025,2.58111296537398
10026,2.23984736661072
10028,2.28932959081102
10029,2.36354738700722
10033,2.37539554007479
10035,2.61214348989232
10036,2.60364883145506
10038,1.93914725437127
10039,2.11259548795335
10040,2.23694262550587
10042,2.12813162317741
10043,2.40211461503732
10044,2.61301945412454
10046,2.69643114199628
10047,2.37336833857858
10052,2.3177820479714
10053,2.37959586610829
10054,1.85598910342578
10055,2.39897271536693
10057,2.13331216681516
10058,2.26567005538748
10059,2.30877273536453
10060,2.29242617295714
10063,2.37652122161678
10065,2.25179051495503
10066,2.70336780800426
10067,2.54662729293099
10069,2.38002253082653
10071,2.32647464624924
10072,2.41618708071659
10077,2.32081611472074
10079,2.35164132228812
10082,2.23067366078922
10083,2.50270903647069
10084,2.46508387744677
10085,2.08427050143219
10087,2.70121732264043
10088,2.3291436750958
10093,2.27820213525773
10094,2.35546613290849
10096,2.60013460200805
10100,2.30429839320408
10102,2.49204577546953
10104,2.42974114192065
10106,2.30720489606197
10107,1.99438158396574
10110,2.03713002587343
10111,2.37618597211272
10115,2.21052729629484
10116,2.77934770482156
10121,2.29624019496088
10122,2.28777542710842
10126,2.41863197554273
10128,2.20923041496765
10129,2.33162804165849
10132,2.24093198577054
10133,2.26567107870029
10136,2.41456949061444
10139,2.35191609541435
10144,2.40017772607443
10146,2.31034176814616
10148,2.25553126051286
10149,2.27411198346912
10153,2.74774014053254
10155,2.28360492415979
10158,2.21319263876841
10160,2.42095873546981
10163,2.45541214318343
10164,2.38823760121175
10167,2.36515888582334
10168,2.30815918669168
10170,2.41230824355607
10171,2.30703648200857
10172,2.46101596600953
10184,2.21090861974579
10188,2.42867015803266
10191,2.29481543594239
10197,2.37750462562751
10200,2.13269049154069
10204,2.40214140965679
10206,2.10948794194777
10207,2.45949702426723
10212,2.42966065690656
10215,2.54348554247049
10216,2.30092541693806
10217,1.86564845706833
10219,2.54540809711182
10221,2.4614773954288
10222,2.36744692826642
10229,2.28114896323946
10232,2.73549157100101
10235,2.24502870447425
10236,2.39049276365229
10239,2.39885099789003
10244,2.47665661197353
10249,1.98212823403851
10252,2.24434423821038
10257,2.69371814568281
10260,2.68587546329291
10266,2.33860087210717
10267,2.56112622771137
