UniqueID,startprice.log10.predict.Final.Ensemble.glmnet
10001,2.19005109711349
10004,2.32278129217831
10005,2.4131359015151
10008,2.54821310751349
10012,1.94288316023854
10016,2.48998010337079
10018,2.29643251474763
10020,1.95161925052596
10022,2.26109470855656
10023,2.1502387516306
10024,2.70797926835617
10025,2.5882304685174
10026,2.22586215249886
10028,2.29322541596359
10029,2.37474336128779
10033,2.39344088551636
10035,2.63402223588648
10036,2.60044562503224
10038,1.94357055922925
10039,2.12656759955572
10040,2.22569205375582
10042,2.01592072503217
10043,2.38190774367092
10044,2.55410066412489
10046,2.69230530566842
10047,2.38415327428604
10052,2.30716374753304
10053,2.36844535238668
10054,1.86624495141732
10055,2.44816660572864
10057,2.15835226011723
10058,2.27123668541773
10059,2.28902170555426
10060,2.30138474930302
10063,2.39887557140897
10065,2.25354349036584
10066,2.70966478813417
10067,2.50994411136643
10069,2.38045103287491
10071,2.33611999737022
10072,2.40246071782977
10077,2.30724360626531
10079,2.33048120566183
10082,2.24826261608106
10083,2.45218859220347
10084,2.44044115696328
10085,2.08886960492086
10087,2.68683460564735
10088,2.33658877791922
10093,2.27943374096297
10094,2.37894754956341
10096,2.54441703934046
10100,2.30467556833616
10102,2.44741503386779
10104,2.46627213341013
10106,2.28534688990936
10107,2.00643041616618
10110,2.01759934033349
10111,2.42203462114114
10115,2.20600837598253
10116,2.78781274696218
10121,2.3117163155807
10122,2.33648530685164
10126,2.38121685494792
10128,2.20641869675489
10129,2.29982163661223
10132,2.24714070012669
10133,2.27450193622614
10136,2.42080098408945
10139,2.37284681477835
10144,2.38706383939573
10146,2.28983262889487
10148,2.27149980013763
10149,2.27776321657913
10153,2.77859463113298
10155,2.29197573009651
10158,2.20522528385757
10160,2.45430560847981
10163,2.43484430183985
10164,2.4291548096258
10167,2.41615027496002
10168,2.2850848043784
10170,2.42658057187995
10171,2.28558382153275
10172,2.44491501794192
10184,2.21382940947968
10188,2.46407342030821
10191,2.29679179234953
10197,2.44817189776517
10200,2.15854996134872
10204,2.42117470872134
10206,2.12093626236589
10207,2.44540100559241
10212,2.46370593026867
10215,2.49763941260756
10216,2.28564836232214
10217,1.872771249266
10219,2.56343853912995
10221,2.4450487087655
10222,2.30985722709094
10229,2.27705916081955
10232,2.72976753881952
10235,2.23351027084172
10236,2.41365066040775
10239,2.44821487510922
10244,2.47500479719314
10249,1.97538514346681
10252,2.2476402610977
10257,2.6979550706511
10260,2.70439029572149
10266,2.32670555741322
10267,2.5665406279785
10274,2.18920664828506
10279,2.35190570752794
10282,2.37663221725871
10287,2.64761532662303
10308,2.52721589990582
10315,2.46321124106358
10316,2.27735062018217
10317,2.02682856257442
10320,2.47950485359428
10325,2.21449529516575
10335,2.22153245274195
10359,2.3979356151335
10362,2.29179324194891
10366,2.02605949074759
10369,2.49714634802085
10374,2.12348686506523
10377,2.15354920759299
10382,1.98118737322639
10385,2.25716346302822
10386,2.38817308019023
10390,2.25782604018358
10409,2.25198707600983
10414,2.3197565194026
10424,2.30787565936899
10426,2.4772517632728
10428,2.70086068379957
10429,2.37458543942383
10432,2.38091175348696
10433,2.26676956990102
10434,2.29226716072855
10440,2.26851075488879
10451,2.39687852534317
10461,2.49524859802608
10465,2.31474014058759
10466,2.00089285205762
10469,2.36980069275864
10471,1.98678516727392
10483,2.39387120408827
10485,2.21379506831645
10494,1.89737426048081
10498,2.20055439169984
10500,2.36229557198845
10503,2.31772197016181
10506,2.24849262613189
10508,2.34680425377858
10512,1.93129475244866
10513,2.51434038017282
10518,2.36235487934682
10520,2.16317034016489
10522,2.3381159509391
10523,2.68475569559443
10537,2.25731965106478
10539,2.34956652277595
10546,2.16202091108822
10547,2.19315578906576
10550,2.66457229530169
10554,2.34389329074337
